Название,Категория,Кухня,Ценовой диапозон,Адрес,Режим работы,Телефон,Сайт,Фото,ID,lat,lon
Театральное,Кафе,Итальянская кухня Русская кухня Европейская кухня ,Средний чек 500 ₽,"улица Карла Маркса, 68","[' 11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00']",88332640801,http://teatralnoe.com,https://i1.photo.2gis.com/images/branch/0/30258560071621624_1e8a_300x300.jpg,8163302605592609,58.602961,49.66954
Santa Mozzarella!,Кафе,Итальянская кухня ,Средний чек 800 ₽,"улица Воровского, 10","[' 11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00']",88332754102,http://pizzasanta.ru,https://i1.photo.2gis.com/images/branch/0/30258560096746528_8f67_300x300.jpg,70000001055612445,58.593903,49.679244
SOLO Центральный,Караоке-клуб,Кавказская кухня Русская кухня Европейская кухня ,Средний чек 500 ₽,"улица Карла Маркса, 81","[' 19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00']",88332210005,,https://i4.photo.2gis.com/images/branch/0/30258560060388399_d296_300x300.jpg,70000001024628842,58.598953,49.66804
Джари,Грузинское бистро,Грузинская кухня ,Средний чек 600 ₽,"Луганская улица, 53/2","[' 10:00-21:00', '  10:00-21:00', '  10:00-21:00', '  10:00-21:00', '  10:00-21:00', '  10:00-21:00', '  10:00-21:00']",88332435656,,https://i4.photo.2gis.com/images/branch/0/30258560088884034_6fc3_300x300.jpg,70000001053332944,58.616894,49.595895
Угольки,Гриль-бар,Русская кухня Европейская кухня ,,"Профсоюзная улица, 68","[' 12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00']",89229950382,http://selipoeli.ru,https://i2.photo.2gis.com/images/branch/0/30258560064630534_0442_300x300.jpg,70000001030450802,58.614754,49.666166
Атмосфера,Рок-бар,Итальянская кухня Русская кухня ,,"Советская улица, 51","['Ср: 19:00-02:00', ' Чт: 19:00-02:00', ' Пт: 19:00-04:00', ' Сб: 19:00-04:00', ' Вс: 19:00-02:00', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)']",89536782768,,https://i2.photo.2gis.com/images/branch/0/30258560091440646_89e7_300x300.jpg,70000001023915131,58.61341,49.668846
Мох,Кафе-бар,Веганская кухня Авторская кухня ,Средний чек 600 ₽,"улица Карла Маркса, 18а","[' 09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-24:00', '  09:00-24:00', '  09:00-21:00']",88332777377,http://moh-kirov.ru,https://i3.photo.2gis.com/images/branch/0/30258560094974761_a11d_300x300.jpg,70000001062535068,58.614146,49.667574
SushiRolls,Доставка готовых блюд,Японская кухня ,Средний чек 350 ₽,"Октябрьский проспект, 62","[' 10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-22:00']",88002002435,http://kirov.sushirolls.su,https://i9.photo.2gis.com/images/branch/0/30258560091231385_3eff_300x300.jpg,70000001055229869,58.605443,49.657829
SOLO 2.0,Караоке-клуб,Итальянская кухня Русская кухня Европейская кухня Американская кухня ,Средний чек 800 ₽,"улица Свободы, 135","[' 19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00']",88332205585,,https://i7.photo.2gis.com/images/branch/0/30258560085672524_b4ef_300x300.jpg,70000001055201205,58.588215,49.67749
Сушилка,Удобные кафе,Итальянская кухня Японская кухня ,Средний чек 700 ₽,"Чистопрудненская улица, 10","[' 10:30-23:00', '  10:30-23:00', '  10:30-23:00', '  10:30-23:00', '  10:30-23:00', '  10:30-23:00', '  10:30-23:00']",88332440093,http://sushi-pizzi.ru/?utm_source=2gis&utm_medium=link,https://i6.photo.2gis.com/images/branch/0/30258560077266637_9b86_300x300.jpg,70000001041588050,58.565291,49.643831
Самое Популярное Кафе Север,Кафе,Итальянская кухня Русская кухня Европейская кухня ,Средний чек 700 ₽,"улица Свердлова, 31","[' 11:00-01:00', '  11:00-01:00', '  11:00-01:00', '  11:00-01:00', '  11:00-03:00', '  12:00-03:00', '  12:00-21:00']",88007000025 (единая справочная: круглосуточно),http://spkcafe.ru,https://i6.photo.2gis.com/images/branch/0/30258560097937648_4e92_300x300.jpg,70000001035007530,58.638304,49.623929
Брокколи,Веганское кафе,Домашняя кухня Веганская кухня ,Средний чек 300 ₽,"улица Горбачёва, 16","[' 09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-21:00']",88332217550,,https://i2.photo.2gis.com/images/branch/0/30258560086931136_30a8_300x300.jpg,70000001034743475,58.600162,49.684179
A.dress счастья,Кафе,Итальянская кухня Японская кухня Европейская кухня ,Средний чек 1200 ₽,"улица Герцена, 41","[' 08:00-23:00', '  08:00-23:00', '  08:00-23:00', '  08:00-23:00', '  08:00-02:00', '  08:00-02:00', '  08:00-23:00']",88332442900,,https://i6.photo.2gis.com/images/branch/0/30258560099635763_ecbc_300x300.jpg,70000001051382597,58.600287,49.667534
Шафран,Кафе-бар,Европейская кухня ,Средний чек 700 ₽,"улица Ленина, 170Б","[' 12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-01:00', '  12:00-01:00', '  12:00-01:00']",88332448068,,https://i7.photo.2gis.com/images/branch/0/30258560098429129_354b_300x300.jpg,70000001045046402,58.575611,49.685355
SOLO Первый,Караоке-клуб,Японская кухня Кавказская кухня Русская кухня Европейская кухня ,Средний чек 500 ₽,"Комсомольская улица, 40","[' 19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00']",88332210285,,https://i6.photo.2gis.com/images/branch/0/30258560060389885_a0bc_300x300.jpg,8163303606068501,58.580399,49.657807
Силикатчик,Шашлычная,Кавказская кухня Русская кухня Европейская кухня ,Средний чек 1000 ₽,"улица Павла Корчагина, 254","[' 09:00-24:00', '  09:00-24:00', '  09:00-24:00', '  09:00-24:00', '  09:00-24:00', '  09:00-24:00', '  09:00-24:00']",88332787939,http://шашлык43.рф,https://i1.photo.2gis.com/images/branch/0/30258560071554498_400c_300x300.jpg,8163302605592783,58.672283,49.662553
Крем,Кафе,Итальянская кухня Русская кухня Европейская кухня ,Средний чек 600 ₽,"улица Гайдара, 1","['Пт: 16:00-24:00', ' Сб: 16:00-24:00 (караоке-зал: пт-сб 18:00-3:00)', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)']",88332444075,http://krem43.ru,https://i9.photo.2gis.com/images/branch/0/30258560050986442_6945_300x300.jpg,70000001007433037,58.628254,49.641338
Leonardo,Кафе,Итальянская кухня Русская кухня Европейская кухня ,Средний чек 600 ₽,"улица Ленина, 64","[' 10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00']",88332219089,,https://i2.photo.2gis.com/images/branch/58/8162774371696151_9df9_300x300.jpg,8163302605754119,58.60855,49.68087
Плов готов,Кафе,Узбекская кухня ,Средний чек 300 ₽,"Профсоюзная улица, 73а","[' 09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-21:00']",88332777333,,https://i6.photo.2gis.com/images/branch/0/30258560066653729_5b33_300x300.jpg,70000001037583071,58.615099,49.659306
Паприка,Кафе,,Средний чек 450 ₽,"улица Капитана Дорофеева, 26","[' 10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-22:00']",88332451230,http://kafe-paprika.ru,https://i1.photo.2gis.com/images/branch/0/30258560100586783_ee86_300x300.jpg,70000001043035800,58.580422,49.563728
Сушилка,Удобные кафе,Итальянская кухня Японская кухня ,Средний чек 500 ₽,"Октябрьский проспект, 95","[' 10:00-21:00', '  10:00-21:00', '  10:00-21:00', '  10:00-21:00', '  10:00-21:00', '  10:00-21:00', '  10:00-21:00']",88332443734,http://sushi-pizzi.ru/?utm_source=2gis&utm_medium=link,https://i2.photo.2gis.com/images/branch/0/30258560077739165_210c_300x300.jpg,8163303605979966,58.614497,49.655678
Ланч Бранч,Кафе-столовая,,Средний чек 200 ₽,"улица Молодой Гвардии, 82","[' 08:00-21:00', '  08:00-21:00', '  08:00-21:00', '  08:00-21:00', '  08:00-21:00', '  08:00-21:00', '  08:00-21:00']",88332420020,,https://i8.photo.2gis.com/images/branch/0/30258560089764323_6070_300x300.jpg,70000001038179195,58.597963,49.655585
Lounge Dada,Бар,,Средний чек 1000 ₽,"Спасская улица, 67д","[' 13:00-01:00', '  13:00-01:00', '  13:00-01:00', '  13:00-01:00', '  13:00-03:00', '  13:00-03:00', '  13:00-01:00']",89226687560,,https://i2.photo.2gis.com/images/branch/58/8162774351592857_4365_300x300.jpg,70000001022997917,58.602143,49.660144
Шашлыки,Рюмочная,,Средний чек 500 ₽,"улица Дерендяева, 33","[' 16:00-24:00', '  16:00-24:00', '  16:00-24:00', '  16:00-24:00', '  16:00-03:00', '  16:00-03:00', '  16:00-24:00']",88332777202,,https://i1.photo.2gis.com/images/branch/0/30258560088830564_609a_300x300.jpg,70000001059122445,58.603155,49.661513
